Query,QueryText,Model,Rank,JobID,Title,ExperienceLevel,Relevant
Q4,cloud engineer with AWS and Docker,Dense,3,cl005,Cloud Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,Dense,4,cl009,Cloud Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,Dense,5,cl004,Cloud Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,Hybrid,1,se018,System Engineer - Cloud & Automation,Experienced,1
Q4,cloud engineer with AWS and Docker,Hybrid,2,ca003,Junior Cloud Engineer,Fresher,0
Q4,cloud engineer with AWS and Docker,Hybrid,3,cl002,Cloud Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,Hybrid,4,cl005,Cloud Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,Hybrid,5,cl003,Cloud Engineer - Fresher,Entry-Level,1
Q5,data pipeline engineer using ETL Hadoop and Spark,BM25,1,de-f-006,Data Engineer,Fresher,1
Q5,data pipeline engineer using ETL Hadoop and Spark,BM25,2,bds-f-007,Big Data Specialist,Fresher,0
Q5,data pipeline engineer using ETL Hadoop and Spark,BM25,3,bds-f-001,Big Data Specialist,Fresher,0
Q5,data pipeline engineer using ETL Hadoop and Spark,BM25,4,de-f-010,Data Engineer,Fresher,1
Q5,data pipeline engineer using ETL Hadoop and Spark,BM25,5,de-f-001,Data Engineer,Fresher,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Dense,1,de-e-004,Data Engineer,Experienced,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Dense,2,de-e-007,Data Engineer,Experienced,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Dense,3,de-e-001,Data Engineer,Experienced,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Dense,4,de-e-010,Data Engineer,Experienced,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Dense,5,de-e-002,Data Engineer,Experienced,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Hybrid,1,de-f-006,Data Engineer,Fresher,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Hybrid,2,bds-f-007,Big Data Specialist,Fresher,0
Q5,data pipeline engineer using ETL Hadoop and Spark,Hybrid,3,de-f-001,Data Engineer,Fresher,1
Q5,data pipeline engineer using ETL Hadoop and Spark,Hybrid,4,bds-f-001,Big Data Specialist,Fresher,0
Q5,data pipeline engineer using ETL Hadoop and Spark,Hybrid,5,de-f-010,Data Engineer,Fresher,1
Q6,role designing wireframes and researching user journeys,BM25,1,uxf007,Junior UX Analyst,Fresher,1
Q6,role designing wireframes and researching user journeys,BM25,2,uxf010,UX Design Intern,Fresher,1
Q6,role designing wireframes and researching user journeys,BM25,3,uxf008,UX Apprentice,Fresher,1
Q6,role designing wireframes and researching user journeys,BM25,4,uxf003,Associate UX Designer,Fresher,1
Q6,role designing wireframes and researching user journeys,BM25,5,uxf009,UX Trainee Designer,Fresher,1
Q6,role designing wireframes and researching user journeys,Dense,1,uxf007,Junior UX Analyst,Fresher,1
Q6,role designing wireframes and researching user journeys,Dense,2,uxf001,UX Designer,Fresher,1
Q6,role designing wireframes and researching user journeys,Dense,3,uxf003,Associate UX Designer,Fresher,1
Q6,role designing wireframes and researching user journeys,Dense,4,pd-f-005,Product Designer,Fresher,0
Q6,role designing wireframes and researching user journeys,Dense,5,uxf010,UX Design Intern,Fresher,1
Q6,role designing wireframes and researching user journeys,Hybrid,1,uxf007,Junior UX Analyst,Fresher,1
Q6,role designing wireframes and researching user journeys,Hybrid,2,uxf010,UX Design Intern,Fresher,1
Q6,role designing wireframes and researching user journeys,Hybrid,3,uxf003,Associate UX Designer,Fresher,1
Q6,role designing wireframes and researching user journeys,Hybrid,4,uxf008,UX Apprentice,Fresher,1
Q6,role designing wireframes and researching user journeys,Hybrid,5,pd-f-005,Product Designer,Fresher,0
Q7,automated testing with Selenium and API testing,BM25,1,sdet-f-013,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,BM25,2,sdet-f-012,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,BM25,3,sdet-f-015,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,BM25,4,sdet-f-014,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,BM25,5,sdet-f-005,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,Dense,1,ta012,Test Automation Engineer - Experienced,Senior-Level,0
Q7,automated testing with Selenium and API testing,Dense,2,ta007,Test Automation Engineer - Fresher,Entry-Level,0
Q7,automated testing with Selenium and API testing,Dense,3,ta017,Test Automation Engineer - Experienced,Senior-Level,0
Q7,automated testing with Selenium and API testing,Dense,4,ta002,Test Automation Engineer - Fresher,Entry-Level,0
Q7,automated testing with Selenium and API testing,Dense,5,ta006,Test Automation Engineer - Fresher,Entry-Level,0
Q7,automated testing with Selenium and API testing,Hybrid,1,sdet-f-012,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,Hybrid,2,sdet-f-002,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,Hybrid,3,sdet-f-013,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,Hybrid,4,sdet-f-003,Software Tester (SDET),Fresher,1
Q7,automated testing with Selenium and API testing,Hybrid,5,sdet-f-015,Software Tester (SDET),Fresher,1
Q8,improve website traffic with keyword optimisation,BM25,1,ne008,Entry-Level Network Analyst,Fresher,0
Q8,improve website traffic with keyword optimisation,BM25,2,seo-017,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,BM25,3,seo-011,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,BM25,4,seo-001,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,BM25,5,cw-002,Content Writer,Fresher,0
Q8,improve website traffic with keyword optimisation,Dense,1,seo-001,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,Dense,2,seo-011,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,Dense,3,seo-013,SEO Specialist,Mid-Level,1
Q8,improve website traffic with keyword optimisation,Dense,4,seo-017,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,Dense,5,seo-006,SEO Specialist,Experienced,1
Q8,improve website traffic with keyword optimisation,Hybrid,1,seo-001,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,Hybrid,2,seo-011,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,Hybrid,3,seo-017,SEO Specialist,Fresher,1
Q8,improve website traffic with keyword optimisation,Hybrid,4,seo-013,SEO Specialist,Mid-Level,1
Q8,improve website traffic with keyword optimisation,Hybrid,5,cw-002,Content Writer,Fresher,0
Q9,product owner managing roadmap user stories and analytics,BM25,1,pm-f-005,Product Manager,Fresher,1
Q9,product owner managing roadmap user stories and analytics,BM25,2,pm-e-010,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,BM25,3,pm-e-014,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,BM25,4,pm-e-018,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,BM25,5,pm-e-012,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,Dense,1,pm-f-005,Product Manager,Fresher,1
Q9,product owner managing roadmap user stories and analytics,Dense,2,pm-f-002,Product Manager,Fresher,1
Q9,product owner managing roadmap user stories and analytics,Dense,3,pm-e-018,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,Dense,4,pm-e-014,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,Dense,5,pm-e-010,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,Hybrid,1,pm-f-005,Product Manager,Fresher,1
Q9,product owner managing roadmap user stories and analytics,Hybrid,2,pm-e-014,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,Hybrid,3,pm-e-018,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,Hybrid,4,pm-e-010,Product Manager,Experienced,1
Q9,product owner managing roadmap user stories and analytics,Hybrid,5,pm-e-008,Product Manager,Experienced,1
Q10,machine learning role deploying models with Kubernetes,BM25,1,ds-f5,Junior Machine Learning Engineer,Fresher,0
Q10,machine learning role deploying models with Kubernetes,BM25,2,ml-e1,Machine Learning Engineer - Experienced,Mid-Senior,1
Q10,machine learning role deploying models with Kubernetes,BM25,3,ds-s4,Machine Learning Scientist,Senior,0
Q10,machine learning role deploying models with Kubernetes,BM25,4,ds-s6,Lead Machine Learning Scientist,Senior,0
Q10,machine learning role deploying models with Kubernetes,BM25,5,se-f8,Software Engineer - Entry Level,Fresher,0
Q10,machine learning role deploying models with Kubernetes,Dense,1,ca007,Senior Cloud Architect,Experienced,0
Q10,machine learning role deploying models with Kubernetes,Dense,2,ca012,Multi-Cloud Architect,Experienced,0
Q10,machine learning role deploying models with Kubernetes,Dense,3,se019,System Engineer,Experienced,0
Q10,machine learning role deploying models with Kubernetes,Dense,4,ca017,Enterprise Cloud Architect,Experienced,0
Q10,machine learning role deploying models with Kubernetes,Dense,5,ml-s3,Principal Machine Learning Engineer,Senior,1
Q10,machine learning role deploying models with Kubernetes,Hybrid,1,ml-e1,Machine Learning Engineer - Experienced,Mid-Senior,1
Q10,machine learning role deploying models with Kubernetes,Hybrid,2,ml-s3,Principal Machine Learning Engineer,Senior,1
Q10,machine learning role deploying models with Kubernetes,Hybrid,3,se-f8,Software Engineer - Entry Level,Fresher,0
Q10,machine learning role deploying models with Kubernetes,Hybrid,4,ml-s2,Lead Machine Learning Engineer,Senior,1
Q10,machine learning role deploying models with Kubernetes,Hybrid,5,ds-s5,Senior Machine Learning Engineer,Senior,0
